name,start_time,start_name,start_id,end_name,end_id,barcode_call
863373cf-eb2b-45a8-9b7f-af882e3e0a3b,2018-07-17T17:26:25Z,BC12,100.0,BC01,62.962963,none
a6903574-fac4-4795-a3f5-a7ae2b0a4cfe,2018-07-17T17:26:37Z,BC02,95.833333,BC09,67.857143,none
7169bc8c-b06d-48f6-bec6-c5f151f8363b,2018-07-17T17:26:36Z,BC11,88.0,BC05,68.0,none
58742315-d48d-4121-b753-1766d77e7f7c,2018-07-17T17:26:40Z,BC08,87.5,BC03,75.0,none
f12d9e10-26ae-479e-b3f4-d277b77122b2,2018-07-17T17:26:39Z,BC06,88.461538,BC08,65.384615,none
6f67acd7-9378-46f0-a726-11e2a98072dd,2018-07-17T17:26:28Z,BC12,95.833333,BC03,65.384615,none
cc5f6857-8de6-4d82-b597-e055a060ee29,2018-07-17T17:26:22Z,BC04,91.666667,BC04,66.666667,none
b0f70fb2-436d-4b7f-b908-9c09efed89da,2018-07-17T17:26:33Z,BC02,80.769231,BC09,64.0,none
88a01bd0-ed85-4eed-bafd-56a1887104d8,2018-07-17T17:26:42Z,BC04,74.074074,BC09,64.0,none
5e73bf79-a748-42c9-a02b-d73cd2a53fe6,2018-07-17T17:26:43Z,BC04,88.888889,BC04,65.384615,none
b4041a6e-6778-443e-9249-3abd27b5c7c4,2018-07-17T17:26:35Z,BC02,75.862069,BC03,69.230769,none
3441ebe2-d769-45d7-8cbe-c3e43e45d8e3,2018-07-17T17:26:10Z,BC07,64.0,BC04,68.0,none
83f8ab98-f7f8-4832-b352-28eb5311faa0,2018-07-17T17:26:22Z,BC08,100.0,BC03,62.5,none
10bd3874-f0db-4898-8cb4-eff57def8056,2018-07-17T17:26:30Z,BC12,95.833333,BC05,74.074074,none
45525746-9e79-4448-bd2d-1b3fed36bc24,2018-07-17T17:26:27Z,BC02,91.666667,BC12,66.666667,none
e5359911-2f15-49ad-ba8a-c6e762575d16,2018-07-17T17:26:37Z,BC05,84.0,BC08,64.285714,none
654257a4-6ef9-4371-acd6-dd0690333dc2,2018-07-17T17:26:36Z,BC12,91.666667,BC03,66.666667,none
aba9a65b-b728-4dfa-9d07-c03608a38b2e,2018-07-17T17:26:34Z,BC05,84.615385,BC12,67.647059,none
d86dde72-8c3b-4bb4-84a0-56a9f3104e7e,2018-07-17T17:26:38Z,BC11,92.0,BC02,70.0,none
ff08238f-1e72-4cb5-98b3-bf3a375afb9b,2018-07-17T17:26:52Z,BC06,87.5,BC12,68.965517,none
76652569-3993-4c00-a659-33d623209fc5,2018-07-17T17:26:44Z,BC04,95.833333,BC10,66.666667,none
5466e9d0-48da-4af6-af79-2cd70259f423,2018-07-17T17:26:44Z,BC01,91.666667,BC10,64.285714,none
aec07868-aa34-452c-ad8b-ca25e135812a,2018-07-17T17:26:37Z,BC03,61.290323,BC08,72.0,none
